Reach_Name,Event_Date,REP,PU_Gap_Code,COUNT
kasky1025,7/11/2016,NA,kasky1025,255
kasky1025,7/12/2017,NA,kasky1025,254
kasky1038,8/1/2016,NA,kasky1038,271
kasky1065,6/22/2017,NA,kasky1065,323
kasky1128,6/11/2015,NA,kasky1128,292
kasky1168,6/11/2014,NA,kasky1168,259
kasky1218,6/16/2016,NA,kasky1218,308
kasky1225,8/2/2016,NA,kasky1225,101
kasky1237,7/11/2016,NA,kasky1237,323
kasky1272,6/23/2015,NA,kasky1272,262
kasky1311,7/6/2015,NA,kasky1311,245
kasky1328,8/2/2016,NA,kasky1328,97
kasky1338,6/16/2016,NA,kasky1338,248
kasky1346,6/14/2016,NA,kasky1346,262
kasky1392,7/18/2016,NA,kasky1392,252
kasky1424,7/6/2015,NA,kasky1424,274
kasky1505,6/19/2017,NA,kasky1505,287
kasky1546,6/19/2017,NA,kasky1546,272
kasky157,7/5/2016,NA,kasky157,435
kasky1609,7/13/2016,NA,kasky1609,321
kasky161,7/5/2016,NA,kasky161,261
kasky1614,6/12/2017,NA,kasky1614,287
kasky1633,7/16/2015,NA,kasky1633,361
kasky1668,7/13/2016,NA,kasky1668,286
kasky173,6/2/2017,NA,kasky173,
kasky1747,6/20/2017,NA,kasky1747,368
kasky1785,6/26/2017,NA,kasky1785,295
kasky1799,6/21/2016,NA,kasky1799,244
kasky1801,6/16/2017,NA,kasky1801,350
kasky1833,6/20/2017,NA,kasky1833,371
kasky1881,6/20/2017,NA,kasky1881,282
kasky1922,6/26/2017,NA,kasky1922,345
kasky1945,7/28/2016,NA,kasky1945,379
kasky2095,6/30/2016,NA,kasky2095,403
kasky2115,6/21/2017,NA,kasky2115,310
kasky2117,6/30/2016,NA,kasky2117,293
kasky2153,6/30/2016,NA,kasky2153,260
kasky2188,8/4/2016,NA,kasky2188,
kasky2219,8/4/2016,NA,kasky2219,251
kasky2219,6/22/2017,NA,kasky2219,327
kasky2232,7/1/2013,NA,kasky2232,106
kasky2240,7/12/2016,NA,kasky2240,270
kasky2299,6/15/2016,NA,kasky2299,332
kasky2314,7/29/2015,NA,kasky2314,295
kasky2349,7/22/2013,NA,kasky2349,358
kasky2353A,6/27/2016,NA,kasky2353,262
kasky2552,7/29/2015,NA,kasky2552,247
kasky2636,6/29/2016,NA,kasky2636,254
kasky2745,7/25/2017,NA,kasky2745,315
kasky2773,7/5/2017,NA,kasky2773,232
kasky2781,7/30/2015,NA,kasky2781,251
kasky288,6/8/2017,NA,kasky288,302
kasky2911,8/2/2017,NA,kasky2911,240
kasky3461,6/28/2016,NA,kasky3461,310
kasky3496,7/23/2013,NA,kasky3496,295
kasky3565,7/29/2015,NA,kasky3565,295
kasky3584,6/23/2016,NA,kasky3584,341
kasky3593,6/22/2016,NA,kasky3593,265
kasky3841,7/29/2015,NA,kasky3841,264
kasky4092,6/22/2016,1,kasky4092,266
kasky4092,6/22/2016,2,kasky4092,267
kasky421,6/8/2017,NA,kasky421,304
kasky44,6/24/2015,NA,kasky44,285
kasky4479,7/1/2014,NA,kasky4479,367
kasky4504,6/22/2016,NA,kasky4504,262
kasky4532,7/21/2015,NA,kasky4532,265
kasky5001,7/21/2015,NA,kasky5001,341
kasky5128,7/22/2015,NA,kasky5128,250
kasky517,6/29/2017,NA,kasky517,294
kasky5234,8/1/2017,NA,kasky5234,239
kasky5667,7/22/2015,NA,kasky5667,297
kasky5764,7/22/2015,NA,kasky5764,242
kasky5770,7/22/2015,NA,kasky5770,282
kasky661,7/5/2017,NA,kasky661,245
kasky745,6/13/2016,NA,kasky745,279
kasky761,7/26/2016,NA,kasky761,349
kasky761,7/3/2017,NA,kasky761,249
kasky786,7/26/2016,NA,kasky786,247
kasky835,8/3/2017,NA,kasky835,246
kasky884,6/6/2017,NA,kasky884,261
kasky92,6/29/2017,NA,kasky92,312
kasky939,8/1/2016,NA,kasky939,305
kasky939,7/10/2017,NA,kasky939,256
kasky948,6/26/2017,NA,kasky948,300
kasky950,6/4/2015,NA,kasky950,331
kasky957,7/19/2016,NA,kasky957,249
kasky957,7/10/2017,NA,kasky957,364
kasky969,6/19/2017,NA,kasky969,338
kasky992,6/28/2016,NA,kasky992,248
F15,8/26/2015,NA,kasky1849,316
F6,9/10/2015,NA,kasky1229,359
F7,9/14/2015,NA,kasky251,371
F9,9/14/2015,NA,kasky276,360
